of,fecha,line,sku,marca,envase,tipo_envase,material_precio,node_marca,node_volumen,node_pack,node_envase,node,h_tot,hl,oee,week,week_start
0000658142-1,2025-09-12,14,ED13LCMW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,0.8355555555555556,0.0,0.2746010638297872,2025-09-08/2025-09-14,2025-09-08
0000648861-1,2025-09-15,14,SK1312MN,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80117,SKOL|1/3|RETR|KR80117,8.009722222222223,202.59,0.12772672099878618,2025-09-15/2025-09-21,2025-09-15
0000655818-1,2025-09-15,14,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,57.94166666666667,6805.02,0.5931588283235054,2025-09-15/2025-09-21,2025-09-15
0000660718-1,2025-09-15,14,SK13L12,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80117,SKOL|1/3|RETR|KR80117,3.5869444444444443,208.05,0.2928831410206768,2025-09-15/2025-09-21,2025-09-15
0000660717-1,2025-09-18,14,3BNCDLD2,COVIRAN,KR6BNCDB,LATA 1/3 SR.,"BEER COVIRAN 4,5º 33CL P12 MP",COVIRAN,1/3,P12,KR6BNCDB,COVIRAN|1/3|P12|KR6BNCDB,57.85722222222222,6280.51,0.5482940086235871,2025-09-15/2025-09-21,2025-09-15
PRT9900016494-M,2025-09-19,14,3BNCDLD2,COVIRAN,KR6BNCDB,LATA 1/3 SR.,"BEER COVIRAN 4,5º 33CL P12 MP",COVIRAN,1/3,P12,KR6BNCDB,COVIRAN|1/3|P12|KR6BNCDB,17.804166666666667,1816.75,0.5154006990388216,2025-09-15/2025-09-21,2025-09-15
0000662052-1,2025-09-22,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,78.71166666666667,6420.85,0.4119990824231088,2025-09-22/2025-09-28,2025-09-22
0000652785-1,2025-09-25,14,3BNAGLD5,ARGUS,KR6BNAGI,LATA 1/3 SR.,"BEER ARGUS SUAVE 4,8º 33CL L P12 MP",ARGUS,1/3,P12,KR6BNAGI,ARGUS|1/3|P12|KR6BNAGI,64.33,6350.88,0.5193257355652902,2025-09-22/2025-09-28,2025-09-22
0000664542-1,2025-09-25,14,3BNEBLD2,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 MP",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,9.735833333333334,990.51,0.5138235042369254,2025-09-22/2025-09-28,2025-09-22
0000664540-1,2025-09-27,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,25.504166666666666,2843.14,0.5630125796438491,2025-09-22/2025-09-28,2025-09-22
0000664551-1,2025-09-27,14,VO13L6M1,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,6.836666666666667,581.51,0.432658072437078,2025-09-22/2025-09-28,2025-09-22
0000664555-1,2025-09-27,14,VO13LTP6,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,14.08611111111111,480.68,0.17240767045454544,2025-09-22/2025-09-28,2025-09-22
PRT9900016513-M,2025-09-27,14,3BNEBLD2,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 MP",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,1.2825,121.02,0.4764998917045701,2025-09-22/2025-09-28,2025-09-22
0000664546-1,2025-09-28,14,ED13LTMW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,6.518055555555556,525.51,0.4071595994033667,2025-09-22/2025-09-28,2025-09-22
0000664552-1,2025-09-28,14,VO13LTMN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,9.231388888888889,510.36,0.27982509047044635,2025-09-22/2025-09-28,2025-09-22
0000666640-1,2025-09-28,14,ED13LCMW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,4.6002777777777775,408.43,0.4484028742225711,2025-09-22/2025-09-28,2025-09-22
0000666580-1,2025-09-29,14,ED13LCMM,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,5.440555555555555,529.97,0.49220945083014045,2025-09-29/2025-10-05,2025-09-29
0000656929-1,2025-09-30,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,39.81583333333333,3725.43,0.472557678757055,2025-09-29/2025-10-05,2025-09-29
0000670229-1,2025-10-02,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,38.98111111111111,4062.5,0.5265622994995509,2025-09-29/2025-10-05,2025-09-29
0000670230-1,2025-10-03,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,14.508333333333333,1547.45,0.538675090943902,2025-09-29/2025-10-05,2025-09-29
0000666649-1,2025-10-06,14,VO13LTMN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,5.361944444444444,528.33,0.49759104802362325,2025-10-06/2025-10-12,2025-10-06
0000668814-1,2025-10-06,14,3BVRQLD0,RAMBLERS,KR6BVRQ2,LATA 1/3 SR.,"BEER RAMBLERS 4,8º 33CL L P12 MP",RAMBLERS,1/3,P12,KR6BVRQ2,RAMBLERS|1/3|P12|KR6BVRQ2,86.95583333333333,8614.76,0.5003705691430907,2025-10-06/2025-10-12,2025-10-06
0000673947-1,2025-10-07,14,ED13LCMW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,5.846111111111111,653.81,0.5648104152808134,2025-10-06/2025-10-12,2025-10-06
PRT9900016558-M,2025-10-07,14,ED13LTMW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,6.208888888888889,675.98,0.6400041660157267,2025-10-06/2025-10-12,2025-10-06
PRT9900016560-M,2025-10-07,14,ED13LCMM,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,5.035833333333334,404.42,0.40577230837150263,2025-10-06/2025-10-12,2025-10-06
0000677698-1,2025-10-08,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,16.460833333333333,1584.91,0.48627212744055753,2025-10-06/2025-10-12,2025-10-06
0000677821-1,2025-10-08,14,EX13LTP6,ESTRELLA DAMM,KR02335,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 LATA1/3 C-4 P6UPHT",ESTRELLA DAMM,1/3,P6,KR02335,ESTRELLA DAMM|1/3|P6|KR02335,14.06611111111111,409.94,0.14718195821319957,2025-10-06/2025-10-12,2025-10-06
0000674198-1,2025-10-09,14,BO13LT,BOCK DAMM,KR02512,LATA 1/3 SR.,BOCK-DAMM 1/3 LATA LC,BOCK DAMM,1/3,UNI,KR02512,BOCK DAMM|1/3|UNI|KR02512,4.51,410.54,0.4602577542085466,2025-10-06/2025-10-12,2025-10-06
PRT9900016561-M,2025-10-09,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,13.840277777777779,733.8,0.2678055243295327,2025-10-06/2025-10-12,2025-10-06
0000673952-1,2025-10-10,14,KE13LBI,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,9.68138888888889,406.55,0.2199505996488409,2025-10-06/2025-10-12,2025-10-06
0000676440-1,2025-10-10,14,EX1324BN,ESTRELLA DAMM,KR02337,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BAND.24U.",ESTRELLA DAMM,1/3,UNI,KR02337,ESTRELLA DAMM|1/3|UNI|KR02337,9.29111111111111,439.44,0.23884836163597226,2025-10-06/2025-10-12,2025-10-06
PRT9900016557-M,2025-10-12,14,3BNEBL24,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P CN",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,54.05833333333333,5354.1,0.5002158162478804,2025-10-06/2025-10-12,2025-10-06
0000676308-1,2025-10-13,14,3BNEBLD2,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 MP",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,15.004444444444445,1499.44,0.5047023104265402,2025-10-13/2025-10-19,2025-10-13
PRT9900016582-M,2025-10-14,14,3BNEBLD2,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 MP",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,28.52888888888889,2875.75,0.5090940956535286,2025-10-13/2025-10-19,2025-10-13
0000676438-1,2025-10-16,14,3BNEBL23,EMD BRAU,KR6BNEB9,LATA 1/3 SR.,"BEER EMD BRAU 4,5º 33CL L P12 P",EMD BRAU,1/3,P12,KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,36.16388888888889,3680.43,0.5140109383641615,2025-10-13/2025-10-19,2025-10-13
0000676439-1,2025-10-16,14,ED13LTMW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,11.869722222222222,1085.3,0.4617724836769558,2025-10-13/2025-10-19,2025-10-13
0000676443-1,2025-10-17,14,VO13L6M1,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,8.549166666666666,787.86,0.4655334915011863,2025-10-13/2025-10-19,2025-10-13
0000676444-1,2025-10-17,14,VO13LTP6,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,5.792777777777777,504.97,0.44025127073942644,2025-10-13/2025-10-19,2025-10-13
0000672217-1,2025-10-20,14,3BNCDLD2,COVIRAN,KR6BNCDB,LATA 1/3 SR.,"BEER COVIRAN 4,5º 33CL P12 MP",COVIRAN,1/3,P12,KR6BNCDB,COVIRAN|1/3|P12|KR6BNCDB,67.60805555555555,7267.54,0.5511472414900584,2025-10-20/2025-10-26,2025-10-20
0000683827-1,2025-10-21,14,3BNCDLD2,COVIRAN,KR6BNCDB,LATA 1/3 SR.,"BEER COVIRAN 4,5º 33CL P12 MP",COVIRAN,1/3,P12,KR6BNCDB,COVIRAN|1/3|P12|KR6BNCDB,27.275277777777777,2941.44,0.5446971471639693,2025-10-20/2025-10-26,2025-10-20
0000683998-1,2025-10-21,14,SK1312MN,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80117,SKOL|1/3|RETR|KR80117,2.405,221.26,0.4645414645414645,2025-10-20/2025-10-26,2025-10-20
0000683999-1,2025-10-21,14,SK13L12,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80117,SKOL|1/3|RETR|KR80117,2.33,217.71,0.47186456843109204,2025-10-20/2025-10-26,2025-10-20
0000683990-1,2025-10-22,14,3BNMSLB0,MARK SPENCER,KR61500,LATA 1/3 SR.,"BEER MARK SPENCER 4,5º 33CL L B4X6 IP X",MARK SPENCER,1/3,UNI,KR61500,MARK SPENCER|1/3|UNI|KR61500,7.505833333333333,382.27,0.2572073572406646,2025-10-20/2025-10-26,2025-10-20
0000685407-1,2025-10-22,14,TUP13LT,TURIA STARK,KR01401,LATA 1/3 SR.,TURIA STARK 1/3 LATA LC 24U.,TURIA STARK,1/3,UNI,KR01401,TURIA STARK|1/3|UNI|KR01401,4.016111111111111,436.13,0.5484161018121455,2025-10-20/2025-10-26,2025-10-20
0000685597-1,2025-10-22,14,KE13LTNN,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,6.628333333333333,636.63,0.4850808817366524,2025-10-20/2025-10-26,2025-10-20
0000680841-1,2025-10-24,14,VO13LTMN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,5.677222222222222,613.69,0.5458949016537822,2025-10-20/2025-10-26,2025-10-20
0000680842-1,2025-10-24,14,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,38.06138888888889,4438.79,0.6168503599981655,2025-10-20/2025-10-26,2025-10-20
0000683993-1,2025-10-24,14,ED13LCMM,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,5.214722222222222,574.99,0.5568635806743728,2025-10-20/2025-10-26,2025-10-20
0000683994-1,2025-10-24,14,ED13LCMW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,2.8080555555555557,336.29,0.6048075971906223,2025-10-20/2025-10-26,2025-10-20
0000680828-1,2025-10-25,14,ED13LTMW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,8.22861111111111,892.05,0.5475137562029504,2025-10-20/2025-10-26,2025-10-20
0000687540-1,2025-10-26,14,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,25.800555555555555,2724.3,0.5332787838332508,2025-10-20/2025-10-26,2025-10-20
0000687682-1,2025-10-26,14,ED13LTCW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,15.698611111111111,1745.66,0.5616031142174643,2025-10-20/2025-10-26,2025-10-20
0000680827-1,2025-10-27,14,ED13LP24,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,2.0058333333333334,250.19,0.6298296634815123,2025-10-27/2025-11-02,2025-10-27
PRT9900016614-M,2025-10-27,14,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,9.599166666666667,1179.62,0.6206267905200104,2025-10-27/2025-11-02,2025-10-27
PRT9900016629-M,2025-10-27,14,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,14.559166666666666,1715.38,0.5951681233540704,2025-10-27/2025-11-02,2025-10-27
0000685398-1,2025-10-28,14,DL13LT,DAMM LEMON,KR00928,LATA 1/3 SR.,DAMM LEMON 1/3 LATA LC,DAMM LEMON,1/3,UNI,KR00928,DAMM LEMON|1/3|UNI|KR00928,6.963055555555556,784.09,0.5689428103923055,2025-10-27/2025-11-02,2025-10-27
0000685399-1,2025-10-28,14,EC13LTNN,DAURA,KR02209,LATA 1/3 SR.,DAURA DAMM 1/3 LATA LC,DAURA,1/3,UNI,KR02209,DAURA|1/3|UNI|KR02209,5.603611111111111,460.03,0.4146135924255192,2025-10-27/2025-11-02,2025-10-27
0000685403-1,2025-10-29,14,FD13LTNN,FREE DAMM,KR00038,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00038,FREE DAMM|1/3|UNI|KR00038,5.112222222222222,668.86,0.6607802651597479,2025-10-27/2025-11-02,2025-10-27
0000685404-1,2025-10-29,14,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,12.898888888888889,1286.48,0.5038125188471977,2025-10-27/2025-11-02,2025-10-27
0000688904-1,2025-10-29,14,FDT1312N,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA PACK C. 12U.,FREE DAMM TOSTADA,1/3,PACK,KR04806,FREE DAMM TOSTADA|1/3|PACK|KR04806,3.200277777777778,261.57,0.4127245898793508,2025-10-27/2025-11-02,2025-10-27
0000685406-1,2025-10-30,14,SK13LN,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80117,SKOL|1/3|UNI|KR80117,6.5675,583.8,0.4496885989069186,2025-10-27/2025-11-02,2025-10-27
PRT9900016637-M,2025-10-30,14,EX13LTP6,ESTRELLA DAMM,KR02335,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 LATA1/3 C-4 P6UPHT",ESTRELLA DAMM,1/3,P6,KR02335,ESTRELLA DAMM|1/3|P6|KR02335,8.2525,406.94,0.24901544986367766,2025-10-27/2025-11-02,2025-10-27
PRT9900016639-M,2025-10-30,14,VNT13LT,"VICTORIA 0,0 TOSTADA",KR83602,LATA 1/3 SR.,"VICTORIA 0,0 TOSTADA 1/3 LATA CAJA24U LC","VICTORIA 0,0 TOSTADA",1/3,UNI,KR83602,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83602",5.058888888888889,346.03,0.34543158357127174,2025-10-27/2025-11-02,2025-10-27
PRT9900016641-M,2025-10-30,14,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,9.120833333333334,966.62,0.5352215623572407,2025-10-27/2025-11-02,2025-10-27
PRT9900016644-M,2025-10-30,14,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,1.9288888888888889,175.03,0.45823732718894017,2025-10-27/2025-11-02,2025-10-27
0000685395-1,2025-11-01,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,27.810833333333335,2480.49,0.45656003239522164,2025-10-27/2025-11-02,2025-10-27
0000687144-1,2025-11-01,14,CM13LT,COMPLOT,KR05002,LATA 1/3 SR.,COMPLOT 1/3 LATA LC,COMPLOT,1/3,UNI,KR05002,COMPLOT|1/3|UNI|KR05002,2.2383333333333333,254.1,0.573343261355175,2025-10-27/2025-11-02,2025-10-27
0000689255-1,2025-11-04,14,ED13LCMM,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,4.8341666666666665,493.07,0.5150836062747802,2025-11-03/2025-11-09,2025-11-03
0000689256-1,2025-11-04,14,ED13LCMW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,4.534166666666667,502.33,0.559517245604362,2025-11-03/2025-11-09,2025-11-03
0000689257-1,2025-11-04,14,ED13LTCW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,17.110555555555557,1901.76,0.561406072414353,2025-11-03/2025-11-09,2025-11-03
0000689204-1,2025-11-05,14,VO13L6M1,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,9.776111111111112,863.03,0.4458430414275161,2025-11-03/2025-11-09,2025-11-03
0000689258-1,2025-11-05,14,ED13LTMW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,15.664166666666667,1437.73,0.4635491479136742,2025-11-03/2025-11-09,2025-11-03
0000689260-1,2025-11-05,14,VO13LTMN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,6.150555555555556,598.0,0.4910125553247222,2025-11-03/2025-11-09,2025-11-03
0000689206-1,2025-11-06,14,VO13LTP6,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00528,VOLL DAMM|1/3|P6|KR00528,8.063333333333333,671.37,0.4204905608378118,2025-11-03/2025-11-09,2025-11-03
0000689259-1,2025-11-06,14,SK1312MN,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA RETRACTIL 12U.,SKOL,1/3,RETR,KR80117,SKOL|1/3|RETR|KR80117,3.8630555555555555,234.2,0.3061767455238369,2025-11-03/2025-11-09,2025-11-03
0000689253-1,2025-11-07,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,38.026944444444446,3073.81,0.4082949174088063,2025-11-03/2025-11-09,2025-11-03
PRT9900016676-M,2025-11-08,14,EX13LTBA,ESTRELLA DAMM,KR02338,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",ESTRELLA DAMM,1/3,P24,KR02338,ESTRELLA DAMM|1/3|P24|KR02338,8.356666666666667,411.35,0.2486783042394015,2025-11-03/2025-11-09,2025-11-03
0000693195-1,2025-11-10,14,FD136IN,FREE DAMM,KR00032,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00032,FREE DAMM|1/3|UNI|KR00032,11.036111111111111,351.44,0.16081047067707022,2025-11-10/2025-11-16,2025-11-10
0000693155-1,2025-11-11,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,12.690555555555555,689.86,0.2748931506849315,2025-11-10/2025-11-16,2025-11-10
0000694994-1,2025-11-11,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,1.0725,16.25,0.0779598308668076,2025-11-10/2025-11-16,2025-11-10
0000694997-1,2025-11-11,14,DIP13L6U,DAURA IPA,KR06900,LATA 1/3 SR.,DAURA IPA 1/3 LATA CJ4 PACK C.6U CRAFTED,DAURA IPA,1/3,PACK,KR06900,DAURA IPA|1/3|PACK|KR06900,10.676666666666666,410.17,0.19406636304489264,2025-11-10/2025-11-16,2025-11-10
PRT9900016693-M,2025-11-13,14,3BNZFLB1,LA FRÍA,KR6BNZF1,LATA 1/3 SR.,"BEER LA FRIA 4,5º 33CL L B24SH P X",LA FRÍA,1/3,P24,KR6BNZF1,LA FRÍA|1/3|P24|KR6BNZF1,47.798611111111114,5524.56,0.5837575842108934,2025-11-10/2025-11-16,2025-11-10
0000694996-1,2025-11-14,14,3BVRQLD0,RAMBLERS,KR6BVRQ2,LATA 1/3 SR.,"BEER RAMBLERS 4,8º 33CL L P12 MP",RAMBLERS,1/3,P12,KR6BVRQ2,RAMBLERS|1/3|P12|KR6BVRQ2,7.452222222222222,257.85,0.17511486309812857,2025-11-10/2025-11-16,2025-11-10
0000695003-1,2025-11-14,14,EX13LTBA,ESTRELLA DAMM,KR02338,LATA 1/3 SR.,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",ESTRELLA DAMM,1/3,P24,KR02338,ESTRELLA DAMM|1/3|P24|KR02338,9.374444444444444,470.08,0.2532298210264312,2025-11-10/2025-11-16,2025-11-10
0000694990-1,2025-11-15,14,3BNAULD1,AURUM,KR6BNAU7,LATA 1/3 SR.,"BEER AURUM 4,8º 33CL L P12 MP",AURUM,1/3,P12,KR6BNAU7,AURUM|1/3|P12|KR6BNAU7,31.0825,3099.69,0.5036776863197219,2025-11-10/2025-11-16,2025-11-10
